cities, urban, city, towns, planning, world, plan, suburbs, buildings, inhabitants, town, medieval, land, metropolitan, live, transportation, industrial, streets, development, century
soil, soils, material, organic, plant, materials, surface, horizon, ground, nutrients, weathering, parent, garden, plants, matter, profile, layer, natural, agricultural, chemical
american, americans, european, america, boston, frontier, philadelphia, artists, thomas, popular, continued, richard, chicago, puritan, emerson, franklin, colonies, benjamin, charles, edward
oregon, coast, sq, ft, columbia, valley, mountains, range, mi, km, pacific, indians, population, land, portland, including, billion, montana, eastern, forests
israel, arab, jordan, israeli, jerusalem, bank, jewish, arabs, palestine, palestinian, peace, occupied, nations, hebrew, tel, haifa, valley, land, aviv, territories
deg, temperatures, mm, average, petroleum, annual, precipitation, july, january, range, rainfall, sulfur, temperature, mean, winter, climate, summer, low, include, averages
education, special, students, individuals, programs, services, regular, handicapped, school, training, instruction, exceptional, skills, colleges, educational, graduate, community, provided, vocational, usually
signal, picture, television, signals, tube, camera, scanning, color, image, channel, receiver, line, screen, elements, beam, lines, video, scene, control, light
massachusetts, boston, england, colony, governor, plymouth, cities, hampshire, textile, towns, colonial, major, economic, industries, bay, public, cape, institutions, value, fishing
william, james, secretary, madison, grant, served, mary, joyce, monroe, garfield, faulkner, harrison, repr, robert, ulysses, england, reagan, june, earl, penn
asia, china, india, asian, world, japan, southeast, indonesia, population, soviet, countries, monsoon, chinese, dry, located, developed, total, culture, malaysia, indian
renaissance, dutch, italian, style, van, florence, netherlands, giovanni, classical, painter, baroque, amsterdam, michelangelo, leonardo, da, rome, drawings, artists, venice, flemish
english, england, words, pronounced, middle, germanic, norman, example, pronunciation, chaucer, tongue, ed, spelling, centuries, sir, closed, spoke, begun, elizabethan, vocabulary
region, mountains, northern, central, ft, southern, major, soils, western, eastern, mountain, regions, rivers, principal, climate, located, vegetation, including, coastal, plain
myths, myth, creation, world, gods, deities, culture, earth, religion, human, ancient, mythology, god, mythological, power, form, time, deity, baal, gilgamesh
plastics, materials, properties, polymer, plastic, chain, strength, polyethylene, low, chains, resistance, atoms, polymers, material, metals, brittle, addition, polyvinyl, developed, density
called, sometimes, line, set, name, formed, found, base, grass, composed, usually, plane, consists, projectile, grasses, coordinate, circle, cone, equation, ants
continental, plate, mountain, oceanic, plates, belts, continents, crust, tectonics, ocean, arc, basins, occur, mantle, margin, sediments, earth, example, rocks, belt
europe, european, western, countries, germany, eastern, france, found, mediterranean, common, continent, throughout, northern, highlands, spain, southern, alps, italy, developed, industrial
aristotle, logic, plato, argument, true, natural, nature, logical, valid, formal, human, arguments, matter, study, subject, soul, virtue, writings, aristotelian, rhetoric
council, pope, papal, papacy, authority, roman, peter, emperor, popes, vatican, catholic, rome, reform, holy, pius, councils, ages, ecumenical, primacy, bishops
schools, school, private, students, secondary, programs, education, junior, offer, curriculum, college, academic, vocational, academies, educational, studies, funds, serve, committee, mathematics
music, musical, composers, songs, composer, piano, musicians, song, style, choral, instrumental, chamber, performed, composition, popular, concert, composed, performers, bach, singing
space, soviet, probes, spacecraft, exploration, systems, probe, manned, vehicle, flight, orbit, launched, rocket, missions, satellites, vehicles, velocity, outer, required, launch
energy, sugar, glucose, metabolism, acids, cycle, fat, acid, glycogen, metabolic, sugars, amino, molecules, reactions, fatty, source, protein, plant, plants, converted
body, tissue, organs, bones, human, blood, bone, muscle, cells, muscles, consists, vessels, glands, layer, contains, functions, main, spinal, urine, tissues
virginia, richmond, governor, valley, john, madison, founded, ridge, rivers, lee, woolf, billion, tobacco, house, mountains, colonial, sq, capital, public, gen
radio, emission, telescope, telescopes, antennas, radiation, astronomy, objects, antenna, galaxy, frequencies, sky, signals, receiver, times, galaxies, electrons, resolution, magnetic, optical
china, chinese, region, taiwan, provinces, republic, yangtze, peking, rice, mongolia, shanghai, foreign, party, economic, province, tons, upland, autonomous, basin, people
lungs, respiratory, air, muscles, gas, sacs, pressure, exchange, oxygen, expiration, lung, inspiration, mouth, muscle, flow, cavity, gills, surface, blood, volume
south, north, southern, northern, major, central, million, netherlands, sudan, yemen, hampshire, low, delaware, sea, wales, national, democratic, dutch, local, cotton
rights, bill, civil, parliament, amendments, declaration, individual, protection, freedom, human, constitution, constitutional, movement, laws, liberty, free, amendment, assembly, act, adopted
novel, novels, fiction, james, novelist, novelists, narrative, story, stories, writers, literary, published, character, flaubert, writer, eliot, fielding, prose, austen, romance
iraq, kuwait, iraqi, saudi, gulf, forces, arabia, oil, arab, persian, nations, hussein, saddam, iran, military, coalition, united, government, invasion, estimated
sculpture, figures, bronze, sculptors, style, museum, relief, monumental, carved, classical, marble, rome, sculptures, baroque, renaissance, florence, sculptor, roman, carving, italian
eng, novel, novels, trans, plays, jean, short, romantic, love, wrote, critical, literary, human, genre, passion, hugo, goethe, theater, influence, andre
family, name, families, cm, son, kin, genus, societies, names, alcoholism, common, leaves, turtles, personal, alcoholic, native, wives, network, cacti, drinking
steel, concrete, construction, building, structural, beams, floor, structures, walls, buildings, columns, frame, roof, reinforced, forms, wall, material, strength, floors, cables
women, college, female, roles, male, woman, countries, society, suffrage, fashion, position, rights, equal, costume, dress, societies, clothing, labor, wore, formal
alaska, anchorage, peninsula, arctic, million, oil, fairbanks, mount, petroleum, yukon, bering, government, near, seward, russian, islands, southeast, interior, gold, sea
irrigation, water, dams, dam, irrigated, land, projects, canals, pakistan, flood, built, soil, nile, fields, surface, systems, reservoir, control, hydroelectric, lands
muscle, nerve, muscles, nervous, membrane, neurons, neuron, sensory, spinal, motor, impulse, cord, contraction, signals, ions, fibers, impulses, filaments, potential, axon
socialist, socialism, marxist, social, party, marx, class, ideas, economic, movements, movement, marxism, society, democracy, revolutionary, doctrine, democratic, communist, mainly, political
world, monkeys, throughout, nations, major, fair, plato, subfamily, fairs, monkey, third, exposition, little, primates, primate, importance, worldwide, soccer, subfamilies, spider
km, mi, sq, wide, located, center, planet, largest, approximately, mph, lies, ft, distance, neptune, lake, pioneer, extends, southwest, voyager, near
roosevelt, franklin, secretary, deal, theodore, republican, president, nation, taft, war, hoover, conservation, economic, truman, reform, nomination, presidency, progressive, united, presidential
dakota, minnesota, river, sq, north, missouri, population, sioux, agricultural, prairie, major, red, montana, agriculture, public, ft, found, include, mining, terms
current, circuit, voltage, electric, electrical, resistance, circuits, source, flow, series, parallel, transistor, electricity, lamp, capacitor, charge, junction, frequency, load, currents
pennsylvania, philadelphia, major, found, pittsburgh, penn, governor, museum, franklin, elected, steel, leading, coal, delaware, civil, plateau, nation, valley, include, erie
president, presidents, executive, presidency, presidential, office, congress, reagan, chief, staff, nixon, policy, secretary, foreign, congressional, cabinet, military, administration, carter, leader
party, parties, majority, systems, democratic, election, liberal, parliamentary, minister, labour, coalition, national, example, elections, democrats, prime, conservative, power, vote, government
modern, ancient, hebrew, arabic, sovereignty, times, limited, term, rise, sovereign, era, basis, notion, capitalism, bureaucracy, idea, authority, corbusier, concrete, concept
maya, classic, period, inscriptions, chichen, lowlands, particularly, cities, nobles, stone, coast, late, mexico, spanish, guatemala, yucatan, mesoamerica, conquest, gods, highland
blood, cells, red, plasma, vessels, normal, function, antibodies, anemia, hemoglobin, factor, marrow, kidney, bleeding, tissues, shock, pressure, factors, renal, clotting
temple, temples, built, buddhist, structures, cult, architecture, hindu, building, period, kingdom, shrines, buddhism, structure, statue, dedicated, brick, freestanding, halls, stone
population, million, billion, growth, major, rate, largest, density, agriculture, increase, populations, ethnic, birthrate, control, include, economic, manufacturing, distribution, total, cities
books, book, bible, testament, written, printing, published, manuscripts, type, publishing, printed, illustrated, illustrations, paul, illuminated, ancient, text, hebrew, prophets, produced
architecture, style, buildings, building, architects, architect, european, design, columns, classical, construction, designed, artists, architectural, styles, plan, wright, arts, colonial, gothic
lebanon, syria, arab, lebanese, christian, beirut, jordan, syrian, muslim, country, civil, population, various, muslims, christians, coastal, palestine, minister, war, mediterranean
speech, words, word, language, meaning, vocal, related, sounds, latin, example, freedom, dictionary, muscles, articulation, voice, pronunciation, chest, functions, free, cords
york, city, hudson, manhattan, albany, sq, buffalo, lawrence, lakes, ontario, erie, colony, museum, fort, dutch, governor, avenue, leaders, street, july
life, span, age, repr, living, biography, extraterrestrial, mars, spent, aging, career, intelligent, returned, personal, planets, organisms, essays, search, emerson, lives
arkansas, river, little, mississippi, rock, university, white, rivers, near, pine, region, petroleum, chief, plain, ft, national, union, territory, include, louisiana
coal, mining, mine, gas, deposits, million, surface, fuel, mined, machine, underground, peat, methods, act, production, removed, extracted, cuts, industry, strip
organic, compounds, chemistry, atoms, chemical, atom, nitrogen, found, example, structure, substances, compound, inorganic, carbon, synthetic, hydrocarbons, valence, reactions, hydrogen, theory
indians, culture, peoples, native, america, societies, cultures, north, americans, european, plains, southwest, foods, usually, eastern, cultural, american, indian, villages, land
infections, infection, diseases, organisms, patients, cells, infectious, skin, cause, microbes, effective, common, antibodies, virus, viral, host, bacterial, therapy, caused, viruses
music, musical, tones, forms, western, tonal, melodic, melodies, particular, rhythmic, patterns, traditions, procedures, pitch, types, elements, common, example, intervals, frequency
east, trade, near, north, eastern, british, slavic, christian, syria, routes, ocean, ancient, communist, berlin, nationalism, nations, valleys, replaced, spices, war
carbon, compounds, bonds, dioxide, containing, graphite, organic, diamond, atom, atoms, double, hydrocarbons, living, single, amorphous, photosynthesis, natural, major, bonding, stable
empire, control, emperor, ottoman, led, european, power, roman, anatolia, nationalism, various, byzantine, soon, civilization, peoples, dynasty, rule, eventually, history, wars
africa, african, south, countries, sahara, coast, zaire, including, angola, guinea, continent, nigeria, political, southern, include, ethiopia, largest, tropical, zimbabwe, rainfall
sound, sounds, ear, production, acoustic, acoustics, hearing, ultrasonic, example, speed, vibrations, hz, vibrating, telephone, medium, density, vibration, director, pitch, effects
california, san, los, angeles, francisco, valley, include, diego, southern, pacific, central, sacramento, ranges, coast, santa, major, bay, natural, university, gold
memory, computers, computer, machine, control, unit, digital, systems, machines, instructions, stored, information, logic, values, operations, storage, functions, operation, means, function
radiation, rays, electromagnetic, gamma, spectrum, emission, radioactive, emitted, radioactivity, infrared, exposure, decay, radioisotopes, spectroscopy, region, wavelength, charged, spectra, visible, wavelengths
games, game, players, olympic, strategy, play, skill, chance, physical, olympics, sports, won, player, example, competition, puzzles, ancient, athletic, everyday, video
interstellar, matter, galaxy, stars, lines, particles, dust, gas, clouds, spiral, radiation, galaxies, absorption, star, observed, galactic, spectral, molecules, atoms, nebulae
heat, thermodynamics, delta, entropy, temperature, substance, transfer, free, gases, change, increase, solid, gas, liquid, water, engine, thermodynamic, machine, combustion, equation
michigan, peninsula, detroit, upper, lakes, lake, lower, sq, production, industry, grand, include, rapids, northern, billion, located, found, transportation, land, british
species, found, genus, usually, common, ecology, genera, protozoa, frogs, tropical, eggs, live, darwin, cm, organisms, length, feed, ft, predators, range
spain, spanish, castile, ferdinand, philip, franco, aragon, charles, madrid, moorish, european, roman, de, catalonia, provinces, isabella, mediterranean, muslim, netherlands, barcelona
party, republican, republicans, democratic, won, election, democrats, nixon, cleveland, nomination, popular, political, eisenhower, votes, convention, nominated, secretary, administration, control, president
arctic, eskimo, ice, greenland, region, pole, ocean, islands, winter, summer, polar, northern, exploration, passage, north, siberia, caribou, sq, sir, archipelago
city, center, capital, located, port, population, site, largest, founded, university, seat, industries, industrial, built, town, major, county, include, london, est
reactor, fuel, fission, coolant, core, nuclear, neutrons, reactors, plant, steam, design, uranium, neutron, rods, control, generator, accident, energy, rate, vessel
house, houses, domestic, roof, frame, wood, stone, framing, built, interior, exterior, foundation, type, hall, walls, central, posts, hearth, floor, building
glass, surface, silica, glasses, optical, fused, flat, thermal, melting, windows, bottles, objects, soda, venetian, conductivity, low, mold, materials, melt, expensive
jews, jewish, palestine, judaism, hebrew, israel, jerusalem, jewry, religious, judah, history, temple, kingdom, leaders, arab, christian, movement, babylonian, biblical, tribes
war, military, peace, warfare, forces, civil, limited, conflict, wars, enemy, strategy, fighting, troops, support, total, weapons, tactics, offensive, fought, korean
country, trade, foreign, economic, countries, major, aid, albania, billion, free, european, imports, argentina, government, exports, capital, national, military, led, domestic
minerals, mineral, deposits, crystal, crystals, ore, rocks, composition, mineralogy, structure, quartz, properties, symmetry, refractive, methods, unit, sample, usually, study, silicon
evolution, natural, species, selection, evolutionary, darwin, land, organisms, changes, million, change, plants, reptiles, populations, theory, similar, characteristics, forms, fossil, living
energy, produce, conversion, converted, solar, fuels, example, amount, source, kinetic, nuclear, electrical, useful, processes, fuel, sources, conservation, fusion, available, systems
japanese, hitler, troops, allied, japan, allies, forces, germans, germany, invasion, china, moved, soviets, axis, soviet, island, burma, battle, nations, pacific
flowers, flower, flowering, leaves, plants, pollen, petals, trees, occur, species, angiosperms, example, stem, grow, stamens, leaf, ovary, male, stems, female
hormones, hormone, pituitary, thyroid, effects, levels, glands, endocrine, receptors, insulin, treatment, gland, growth, example, secretion, stimulates, tissue, adrenal, tissues, blood
brain, cortex, cerebral, nerve, human, stem, humans, activity, impulses, lobe, cells, nuclei, fibers, olfactory, nerves, neurons, spinal, cord, frontal, temporal
carolina, south, piedmont, coastal, plain, charleston, colony, governor, cotton, coast, major, settlement, agricultural, industry, education, mountains, value, ranks, population, income
corn, plant, wheat, grown, starch, rice, varieties, grain, grass, crop, kernels, hybrids, production, hybrid, flour, yields, breeding, seed, flint, maize
australia, australian, continent, million, wales, western, plateau, aborigines, land, eastern, south, basin, dry, include, queensland, highlands, sydney, ft, tasmania, southeast
india, pakistan, gandhi, indian, subcontinent, major, prime, british, independence, bangladesh, minister, indus, himalayas, caste, muslim, hindu, bengal, land, sikh, punjab
analysis, metal, solution, qualitative, silver, methods, metals, sample, method, ions, precipitate, iron, physical, substance, solutions, techniques, ion, properties, pure, chemistry
divorce, marriage, societies, children, wife, husband, marriages, legal, married, parents, contract, families, partners, divorced, rate, bride, woman, custody, grounds, allowed
university, universities, college, colleges, students, institutions, graduate, research, undergraduate, founded, degree, established, faculty, academic, study, oxford, degrees, professor, harvard, institution
languages, spoken, language, speakers, million, branch, written, words, austronesian, verb, example, northern, word, branches, dialects, distinct, germanic, widely, african, consonants
west, western, eastern, especially, rivers, berlin, coast, million, lower, charleston, reached, petroleum, federal, railroads, bank, frontier, indies, panhandle, german, middle
government, governments, federal, control, national, power, authority, economic, local, minister, executive, private, prime, constitution, elected, services, citizens, political, elections, central
presidential, campaign, candidates, election, candidate, party, campaigns, political, carter, elections, voters, television, issues, kennedy, debates, president, ford, national, vote, electoral
cells, cell, chromosomes, membrane, division, nucleus, material, function, tissue, protein, cytoplasm, types, surface, synthesis, spindle, structures, molecules, products, organelles, single
development, military, technology, developed, naval, warfare, navy, weapons, guns, strategy, technological, technical, industrial, tactics, artillery, enemy, invention, aid, plow, armed
canada, quebec, canadian, ontario, province, provinces, montreal, alberta, lawrence, british, st, provincial, columbia, toronto, bay, north, newfoundland, canadians, sq, interior
design, interior, interiors, designers, rugs, industrial, designs, designer, designed, decoration, type, types, carpets, garden, gardens, architect, engineering, simple, decorative, flag
atmosphere, surface, wind, winds, pressure, flow, air, atmospheric, earth, temperature, circulation, near, ozone, equator, changes, radiation, heat, dry, disturbances, height
archaeology, archaeological, ancient, site, prehistoric, archaeologist, remains, excavations, excavation, sites, stone, archaeologists, past, found, classical, chronology, material, dating, study, near
farm, farming, farmers, farms, land, agricultural, crops, production, agriculture, wheat, food, crop, cattle, machinery, labor, countries, prices, produce, cotton, cultivation
stars, flag, flags, astronomy, galaxy, celestial, motions, center, moon, structure, planetary, sun, astronomer, physical, stripes, bodies, found, stellar, motion, astronomers
belgium, dutch, netherlands, low, brussels, flanders, belgian, tons, antwerp, region, located, countries, industry, principal, language, kingdom, trade, europe, regions, official
atoms, atom, nucleus, nuclei, atomic, electrons, hydrogen, model, nuclear, properties, neutrons, protons, electron, mass, structure, proton, bohr, rutherford, theory, element
paper, printing, pulp, type, machine, wood, machines, metal, press, cylinder, materials, printed, sheet, screen, fibers, plate, surface, cut, papers, types
utah, lake, salt, mormon, largest, city, western, include, mountains, mineral, pine, basin, average, products, mormons, courts, mining, fir, counties, located
pressure, liquid, phase, vapor, equilibrium, solution, solid, liquids, components, flow, fluid, component, phases, chromatography, mixture, composition, gas, pressures, temperature, boiling
colorado, ft, denver, mountain, mountains, mining, plains, gold, agriculture, rockies, range, manufacturing, nebraska, river, rocky, silver, local, resources, billion, products
molecules, molecule, atoms, bonds, bond, chemical, molecular, reactions, example, bonding, gases, formed, organic, processes, spectroscopy, absorption, ionic, ions, excited, immune
image, images, digital, processing, printing, example, compression, objects, intensity, object, methods, values, optical, size, original, color, vision, details, computer, contrast
drug, drugs, effects, body, patient, liver, example, dose, action, circulation, effect, treatment, toxicity, enzymes, allergic, heart, called, control, brain, patients
children, child, preschool, programs, books, parents, childhood, tales, play, families, age, nursery, adults, retarded, read, kindergarten, learning, little, activities, program
connecticut, hampshire, hartford, white, haven, colony, governor, manufacturing, value, chief, island, river, highlands, numerous, eastern, economy, court, public, sound, largest
texas, san, houston, antonio, austin, mexico, include, dallas, spanish, mexican, found, grande, rio, natural, fort, worth, products, plains, southern, nation
law, legal, civil, code, common, roman, laws, rules, courts, systems, jurisprudence, lawyers, codes, administrative, natural, society, decisions, justice, obligations, rights
water, groundwater, surface, supply, supplies, treatment, systems, quality, salt, runoff, rivers, available, streams, stream, dissolved, usually, facilities, lakes, fresh, precipitation
bacteria, antibiotics, bacterial, penicillin, antibiotic, organisms, cause, cell, genes, effective, infection, resistant, resistance, disease, nitrogen, microorganisms, algae, growth, activity, living
egypt, egyptian, nile, dynasty, royal, arab, ancient, cairo, tombs, nasser, desert, kingdom, suez, increased, syria, sinai, sudan, delta, egyptians, valley
money, inflation, rate, monetary, value, currency, prices, increase, price, supply, exchange, output, real, countries, rates, particular, increases, economists, economy, dollar
jefferson, thomas, hamilton, adams, secretary, burr, madison, washington, virginia, administration, declaration, wrote, independence, bill, france, slavery, freedom, college, liberty, george
mexican, taylor, santa, mexico, anna, texas, polk, california, august, americans, rio, grande, army, scott, attack, july, herrera, troops, parades, territory
heart, blood, muscle, flow, ventricle, pressure, valves, left, cardiac, body, atrium, circulatory, valve, aorta, fluid, tissue, action, minute, pulmonary, circulation
care, medical, hospitals, hospital, patients, health, nursing, costs, physicians, services, patient, nurses, diseases, physician, practice, facilities, treatment, staff, insurance, private
nuclear, weapons, deterrence, attack, soviet, strategy, missiles, destruction, defense, assured, strategic, submarines, arms, weapon, capacity, bombs, armaments, strike, enemy, uranium
lens, camera, cameras, film, lenses, image, exposure, focal, focus, aperture, type, reflex, focusing, automatic, speed, optical, control, mounted, length, electronic
north, atlantic, mountains, deer, coast, plain, raleigh, gulf, coastal, mississippi, nigeria, zealand, tribe, border, especially, name, dakota, including, numerous, korean
slavery, slaves, slave, trade, labor, african, colonies, societies, demand, indians, institution, africans, america, ancient, blacks, debt, free, agricultural, society, owner
vietnam, vietnamese, kampuchea, viet, hanoi, communist, laos, south, minh, nixon, aid, cambodia, forces, china, khmer, indochina, peace, chinese, united, ho
motion, motions, vote, majority, speaker, main, interrupt, requires, stated, parliamentary, time, required, assembly, move, procedure, chair, approval, discussion, request, question
poland, polish, communist, solidarity, russia, warsaw, poles, political, movement, europe, established, soviet, rule, western, eastern, national, assembly, russian, union, prussia
disorders, disorder, mental, personality, symptoms, patients, patient, treatment, illness, characterized, physical, schizophrenia, theories, person, anxiety, emotional, cause, sexual, individual, include
color, red, white, blue, green, colors, silver, yellow, film, black, negative, flag, usually, gems, flags, placed, colored, dark, common, gray
social, society, security, sociology, workers, organization, benefits, societies, anthropology, economic, program, class, structure, welfare, community, study, sociologists, cultural, sociological, change
computer, computers, program, programs, data, software, programming, personal, systems, hardware, applications, electronic, business, digital, input, instructions, instruction, devices, powerful, design
psychology, study, psychologists, behavior, human, learning, psychological, research, cognitive, clinical, article, personality, field, applied, studies, ed, basic, development, memory, freud
georgia, atlanta, piedmont, major, coastal, economic, plain, forest, ft, mountain, mountains, system, sq, valley, agriculture, ridge, atlantic, manufacturing, income, cities
moral, child, suicide, ethics, development, personality, learning, individual, approach, morality, theories, view, theory, values, freud, emotional, situation, questions, research, society
arizona, colorado, tucson, phoenix, ft, include, near, region, indian, river, mexico, plateau, established, canyon, gila, agriculture, national, copper, billion, san
ships, ship, sails, sail, steam, sailing, vessels, built, masts, vessel, mast, square, cargo, craft, boat, wind, propulsion, types, design, power
communication, charles, frequency, carrier, electronic, communications, receiver, print, radio, telephone, message, darwin, term, meaning, signals, transmitted, theory, station, signal, means
growth, size, cells, development, age, occurs, body, rate, hormone, normal, puberty, increase, adult, grow, tissues, embryo, bone, plants, animal, animals
television, broadcasting, radio, stations, cable, network, programming, networks, satellite, public, programs, advertising, broadcast, million, commercial, news, audience, sets, systems, company
greek, ancient, roman, athens, greeks, classical, alexander, inscriptions, hellenistic, latin, archaic, athenian, doric, eastern, anatolia, ionic, ionian, times, etruscan, sparta
plants, plant, leaves, seed, roots, vascular, seeds, stems, stem, primary, leaf, gametophyte, develop, root, spores, xylem, flowering, structure, green, tissues
court, supreme, justice, courts, federal, chief, justices, decisions, opinions, decision, opinion, trial, jurisdiction, appeal, judicial, judge, judges, constitution, appellate, criminal
illinois, chicago, mississippi, billion, largest, include, prairie, cities, southern, manufacturing, louis, springfield, hills, indians, metropolitan, plants, river, leading, soil, ago
drug, drugs, abuse, illegal, marijuana, program, users, treatment, cocaine, heroin, testing, prescription, narcotic, programs, percent, narcotics, medical, dependence, therapeutic, federal
thomas, george, poet, london, william, sir, prose, poems, robert, richard, victorian, age, charles, published, wrote, series, pope, romantic, verse, shakespeare
disease, diseases, cause, caused, infection, common, usually, skin, occur, result, symptoms, include, treatment, infected, causes, infectious, arthritis, transmitted, disorders, humans
rock, jazz, roll, style, popular, blues, bands, encyclopedia, stone, styles, tunnel, rolling, ed, band, major, cave, erosion, audiences, rev, decade
painting, painters, paintings, artists, landscape, painter, artist, painted, style, paris, flemish, school, scenes, color, fresco, portraits, subjects, landscapes, paint, influence
weather, data, forecasting, precipitation, climate, atmosphere, numerical, models, meteorology, forecast, cloud, observations, atmospheric, example, forecasts, radar, systems, clouds, meteorological, statistical
economic, economy, output, employment, reagan, production, resources, economics, supply, investment, business, market, aggregate, level, price, capitalism, economists, expenditures, prices, labor
insects, insect, wings, adult, legs, beetles, larvae, thorax, ants, body, usually, head, eggs, wasps, species, egg, eyes, abdomen, behavior, fly
ice, glacial, million, glaciers, ft, sheets, age, degrees, ages, glacier, mountain, glaciation, sheet, evidence, quaternary, pleistocene, surface, till, ago, found
chinese, dynasty, calligraphy, script, sung, china, han, ming, shang, writing, yuan, arts, western, buddhist, written, chou, earliest, ink, ware, brush
johnson, lyndon, secretary, kennedy, andrew, robert, democratic, senate, president, presidency, congress, white, senator, vietnam, domestic, military, baines, born, policy, boswell
philosophy, knowledge, philosophical, philosophers, reality, experience, mind, metaphysical, philosopher, developed, nature, metaphysics, ideas, kant, theory, individual, tradition, questions, basic, principles
medicine, physician, medical, traditional, chinese, body, practice, disease, texts, patient, treatment, physicians, therapy, diseases, patients, anatomy, healing, discovered, health, western
congress, amendment, section, constitution, united, article, person, law, time, laws, nor, vice, court, citizens, powers, power, thereof, clause, consent, jurisdiction
portugal, portuguese, lisbon, antonio, da, columbus, reached, spain, exploration, atlantic, porto, trade, son, de, europe, sailed, brazil, soon, colonies, angola
wyoming, river, mountains, cheyenne, basin, coal, include, plains, ft, indians, fur, largest, cattle, fort, uranium, union, trail, rockies, nebraska, frontier
rubber, natural, synthetic, latex, tires, produced, trees, tree, malaysia, tire, products, thailand, chemical, devised, chemicals, elastic, expensive, product, production, example
insurance, policy, risk, loss, security, insured, policies, paid, federal, types, benefits, losses, example, funds, costs, type, cost, program, amount, age
islam, muslim, muhammad, islamic, iran, arab, muslims, ottoman, persian, prophet, koran, shah, community, arabia, arabs, ali, arabic, persia, religion, egypt
teeth, ivory, tooth, dental, bone, gum, dentistry, bones, african, mouth, enamel, carved, eskimo, elephant, oral, monkeys, material, ancient, cavities, carving
korea, korean, north, south, koreans, peninsula, seoul, president, china, parallel, communist, political, nations, kim, chinese, military, truman, japan, coast, economic
stars, star, sun, magnitude, mass, helium, luminosity, stellar, spectra, times, lines, surface, measured, brightness, temperature, billion, hydrogen, atmosphere, reactions, astronomers
black, blacks, white, whites, racial, african, segregation, race, southern, civil, major, racism, reconstruction, opposition, existed, increased, jim, federal, americans, percent
